Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,pwm_commanded_us,point_idx,resting_voltage_V,
0.21644609999986364,1050,,,,-0.0037890625,0.0521875,-1.003984375,0.002205419880993046,-0.011380528518037877,16.569877001953238,-0.24075070985288613,442,0,3.989209736822704,0.10122380940652598,2.5400776838614387,0.11910420624741455,0.0028525939842696047,0.1003515625,,1050,0,16.591159727222028,
0.21396770000000484,1100,,,,0.001875,0.0463671875,-1.0104296875,0.002883411148194579,-0.01701966715504024,16.564062246434492,-0.21628026403755796,2182,0,3.5824800213474255,0.6589454664256773,18.396024344696652,0.025831571224535322,0.004751270185034824,0.0816015625,,1100,1,16.591159727222028,
8.302870399999994,1125,,,,-0.00265625,0.0507421875,-1.0076953125,0.004663534027803253,-0.0276893564254931,16.54782289902601,-0.15084670498257746,2719,0,2.4961848538620783,1.3281039535410022,53.22326968127778,0.02085565978711206,0.011095189098624498,0.116015625,,1125,2,16.591159727222028,
16.3762488,1150,,,,-0.005,0.05234375,-0.999296875,0.006263574816863126,-0.040894621596108544,16.529270288896505,-0.06928896241260986,3231,0,1.145296404911277,2.119387969678989,185.64094095015017,0.019296276466639256,0.0358117945201484,0.172421875,,1150,3,16.591159727222028,
24.498564999999985,1175,,,,-0.0075,0.0563671875,-1.00125,0.008363203604011406,-0.0555788324997385,16.50684358725782,0.03275920556572833,3690,0,0.5407511987296854,3.232041523710959,601.920876340783,0.017196010998401602,0.10348238429038009,0.23,,1175,4,16.591159727222028,
32.83240919999997,1200,,,,-0.004375,0.0840234375,-0.99171875,0.010302503816815472,-0.07112669583888949,16.476715268526476,0.16184607636208603,4148,0,2.666691605101531,4.475664314857339,167.8465419522003,0.01589190783804633,0.026673928329303848,0.3850390625,,1200,5,16.591159727222028,
41.41789870000003,1225,,,,-0.056875,0.0541796875,-1.0512890625,0.012947942589358273,-0.0895330597635664,16.44021929685745,0.32496575168744213,4578,0,5.342508339919989,6.2069028835953794,116.18062350298466,0.014424869943386638,0.016758855933527904,0.9551953125,,1225,6,16.591159727222028,
50.28404550000002,1250,,,,0.001484375,0.050234375,-0.9975390625,0.014925501963703049,-0.105147520912688,16.400100930293927,0.4889278144643817,4991,0,8.018465831159979,7.801375929225677,97.29293215060811,0.013478286615245727,0.013113262284276766,0.4961328125,,1250,7,16.591159727222028,
59.38472039999997,1275,,,,-0.1133203125,0.059296875,-0.9952734375,0.017310800674742065,-0.12355811130797523,16.35251853488866,0.6900716517365713,5346,0,11.28440910537369,9.691198683926213,85.88290964321713,0.01274966228462402,0.010949881122851874,1.07140625,,1275,8,16.591159727222028,
68.7256016,1300,,,,-0.0465234375,0.0594140625,-0.9964453125,0.02023215002294157,-0.14427765006524887,16.29275993351589,0.9456249831074669,5788,0,15.406836506615956,12.262215266869061,79.59168325972763,0.01176635384814019,0.009364721817103794,0.6603125,,1300,9,16.591159727222028,
78.34686619999998,1325,,,,0.000234375,0.04671875,-1.01,0.022470210369819,-0.16232461796442443,16.234170792185513,1.1853990079485872,6125,0,19.24396385703181,14.413267051362707,74.89903040104736,0.01126217887626938,0.008435238332031896,0.485703125,,1325,10,16.591159727222028,
88.23833069999999,1350,,,,0.00109375,0.0502734375,-1.0066015625,0.024690906674663206,-0.1787146377872782,16.173532948046986,1.4069972668478692,6426,0,22.75611813472155,16.616003452918356,73.01765409978943,0.010755899525432829,0.00785356876080557,0.3755078125,,1350,11,16.591159727222028,
98.37581360000001,1375,,,,-0.009375,0.048984375,-1.0046484375,0.027194756622254897,-0.19838024937079227,16.10175286111987,1.6901495948138165,6777,0,27.21436762253227,19.299749422391937,70.91924849229709,0.01027902615006182,0.007289776001915449,0.3408984375,,1375,12,16.591159727222028,
108.76817409999995,1400,,,,-0.00796875,0.057265625,-1.00140625,0.029863424008844203,-0.21955073709056383,16.019758315541058,2.0307620748646915,7092,0,32.532320881780834,22.17738664634841,68.16966549284678,0.009907084660324382,0.006748697970568404,0.3060546875,,1400,13,16.591159727222028,
119.38100750000004,1425,,,,-0.018984375,0.0620703125,-1.0030859375,0.0327392505588755,-0.23936362646883316,15.939227166471639,2.3511890197391647,7398,0,37.47613399213307,25.364028420144137,67.68052034496922,0.009437247935861717,0.006387121838559039,0.3126953125,,1425,14,16.591159727222028,
