Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,pwm_commanded_us,phase,resting_voltage_V,
0.006809999999939464,1000,,,,0,0.0234375,-1,0.0006573268465792825,-0.0025734025163346853,8.171951787809604,-0.30602608519632946,0,0,2.500830414036519,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.014029999999911525,1000,,,,-0.0625,0.142578125,-1.041015625,0.0006573268465792825,-0.0025734025163346853,8.172148297382712,-0.30634029778918276,0,0,2.503458342997583,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.021979999999981372,1000,,,,0,0.083984375,-1.017578125,0.0005237641840202228,-0.0025734025163346853,8.172271792598698,-0.30547165980729934,0,0,2.496397428881498,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.029944999999948776,1000,,,,0,-0.0078125,-0.98828125,0.0005237641840202228,-0.0025734025163346853,8.17216099162089,-0.3026390626004563,0,0,2.4732151419241615,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.03785999999998603,1000,,,,0,0.078125,-1.048828125,0.0005237641840202228,-0.0025734025163346853,8.172218618496915,-0.30323053818219564,0,0,2.478066249829379,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.04593499999993946,1000,,,,-0.03125,0.140625,-1.021484375,0.0005237641840202228,-0.0025734025163346853,8.172011106502563,-0.3033662620104854,0,0,2.479112462487853,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.05389999999990687,1000,,,,0,-0.02734375,-1.00390625,0.0005237641840202228,-0.0025734025163346853,8.172206643367426,-0.303494839385225,0,0,2.4802225426516658,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.06441499999992084,1000,,,,0,0.0625,-1.015625,0.0005237641840202228,-0.0025734025163346853,8.1722623621404,-0.30512094623923564,0,0,2.4935284248515694,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.0738949999999022,1000,,,,0.03125,0.060546875,-1.03515625,0.0005237641840202228,-0.0025734025163346853,8.17215252951466,-0.30547948668939995,0,0,2.49642495986362,0,0,0,0,0.11328125,,1000,0,8.176373767595187,
0.08133999999996741,1000,,,,0,0,-0.98046875,0.0005237641840202228,-0.0025734025163346853,8.172336651180965,-0.305296220596868,0,0,2.4949834930508135,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.08921999999997206,1000,,,,-0.0625,0.15234375,-1.0546875,0.0005237641840202228,-0.0025734025163346853,8.172385106602867,-0.30469680138444405,0,0,2.4900996016637627,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.0969749999998603,1000,,,,0,0.083984375,-0.9921875,0.0005237641840202228,-0.0036852886627906497,8.172366687968559,-0.30507063419943303,0,0,2.4931490884088885,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.10481999999994877,1000,,,,0,-0.017578125,-1.013671875,0.0005237641840202228,-0.0036852886627906497,8.172348788781242,-0.3047975822592165,0,0,2.490912152199559,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.11280999999993946,1000,,,,0,0.09375,-1.0625,0.0005237641840202228,-0.0036852886627906497,8.172070645721872,-0.3048559351301727,0,0,2.4913042386513755,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.12081499999994412,1000,,,,0.03125,0.1171875,-1.0546875,0.0005237641840202228,-0.0036852886627906497,8.172133053364712,-0.3038392528901342,0,0,2.4830148014531055,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.1288299999999581,1000,,,,-0.0625,0.05078125,-0.96484375,0.0005237641840202228,-0.0036852886627906497,8.172126572381682,-0.3029930715261091,0,0,2.47609773106606,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.1368399999999674,1000,,,,-0.03125,0.033203125,-1,0.0005237641840202228,-0.0036852886627906497,8.172251057222857,-0.30356540159141915,0,0,2.4808126740917564,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.1448299999999581,1000,,,,0.0625,0.0625,-1.015625,0.0005237641840202228,-0.0036852886627906497,8.172238711299265,-0.3043242537916266,0,0,2.487010447623193,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.152875,1000,,,,0.03125,0.03515625,-1.001953125,0.0005237641840202228,-0.0036852886627906497,8.172423317198747,-0.304405976542448,0,0,2.487734500590157,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.16088000000000466,1000,,,,-0.03125,0.013671875,-0.98046875,0.0005237641840202228,-0.0036852886627906497,8.172337219830652,-0.3063993788415994,0,0,2.5039990478401952,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.16882499999995343,1000,,,,-0.0625,0.17578125,-1.0234375,0.0005237641840202228,-0.0036852886627906497,8.172124391479876,-0.3070182378432803,0,0,2.508991230108241,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.17686999999999534,1000,,,,0,0.07421875,-1.021484375,0.00010173145074237716,-0.0036852886627906497,8.172118280165343,-0.30760672774561393,0,0,2.5137985629117754,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.18498499999998602,1000,,,,0,-0.048828125,-0.97265625,0.00010173145074237716,-0.0036852886627906497,8.172244844601813,-0.30709493808688876,0,0,2.5096550245838896,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.19301999999990221,1000,,,,0,0.07421875,-1.00390625,0.00010173145074237716,-0.0036852886627906497,8.172298298400573,-0.306614717423829,0,0,2.5057469334673304,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.20109499999997207,1000,,,,-0.03125,0.095703125,-1.00390625,0.00010173145074237716,-0.0036852886627906497,8.172283817102626,-0.3065843769130263,0,0,2.505494542022817,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.20905500000005123,1000,,,,0,-0.05078125,-0.953125,0.00010173145074237716,-0.0036852886627906497,8.172466875267345,-0.3063413153919935,0,0,2.503564252566893,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.21920999999996274,1000,,,,0,0.01953125,-1.025390625,0.00010173145074237716,-0.0036852886627906497,8.17237875048741,-0.3065365689967336,0,0,2.505132942716223,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.2273299999998417,1000,,,,0.03125,0.0703125,-1,0.00010173145074237716,-0.0036852886627906497,8.172355320007325,-0.3059658338337883,0,0,2.500461509872037,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.23523499999998604,1000,,,,0,-0.0078125,-0.9609375,0.00010173145074237716,-0.0036852886627906497,8.172467765045413,-0.30638934059758327,0,0,2.503957009587269,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.2431599999999162,1000,,,,-0.03125,0.091796875,-1.01171875,0.00010173145074237716,-0.0036852886627906497,8.172444946864989,-0.30700492352398506,0,0,2.508980835916264,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.25128499999991616,1000,,,,0.03125,0.087890625,-1.046875,0.00010173145074237716,-0.0017347390074592735,8.172323219253999,-0.306954371266553,0,0,2.5085303355531634,0,0,0,0,0.111328125,,1000,0,8.176373767595187,
0.2599399999999441,1000,,,,0,-0.0078125,-0.98046875,0.00010173145074237716,-0.0017347390074592735,8.172307441513425,-0.3077540877644421,0,0,2.515061021593526,0,0,0,0,0.109375,,1000,0,8.176373767595187,
0.267234999999986,1000,,,,0,0.0234375,-0.9921875,0.00010173145074237716,-0.0017347390074592735,8.172292250178959,-0.3076668671730338,0,0,2.5143435542350234,0,0,0,0,0.109375,,1000,0,8.176373767595187,
0.2750549999999348,1000,,,,0,0.14453125,-1.01171875,0.00010173145074237716,-0.0017347390074592735,8.172278193449218,-0.30758621213995296,0,0,2.5136800940769826,0,0,0,0,0.109375,,1000,0,8.176373767595187,
0.2831700000000419,1000,,,,-0.03125,0.060546875,-1.0078125,0.00010173145074237716,-0.0017347390074592735,8.17226433691329,-0.3078315975123678,0,0,2.5156811861253696,0,0,0,0,0.109375,,1000,0,8.176373767595187,
0.2911349999998929,1000,,,,0,-0.005859375,-1.017578125,0.00010173145074237716,-0.0017347390074592735,8.172316723549038,-0.3081669795464501,0,0,2.5184381605930484,0,0,0,0,0.109375,,1000,0,8.176373767595187,
