Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,pwm_commanded_us,point_idx,resting_voltage_V,
0.21241480000002544,1050,,,,-0.001875,0.053671875,-1.009140625,0.00011472557444697788,-0.003461588804794166,8.15124255671517,-0.30121655332910957,0,0,2.4552891491008064,0,0,0,0,0.095703125,,1050,0,8.151525290890152,
0.2051143999999506,1100,,,,0,0.0444140625,-0.9991796875,0.000039836241744,-0.003679294277812903,8.152622537279067,-0.29179826686117943,0,0,2.3789212183940065,0,0,0,0,0.115859375,,1100,1,8.151525290890152,
8.243339599999961,1150,,,,-0.001484375,0.0490625,-1.0039453125,0.0005250352553981353,-0.006513221104837866,8.151191780597939,-0.2686881671040479,0,0,2.190128893996368,0,0,0,0,0.0958984375,,1150,2,8.151525290890152,
16.475263199999954,1200,,,,0.001875,0.0446484375,-0.9953125,0.0007437499939970353,-0.011808677242136648,8.148449889566567,-0.2154294836027724,3002,0,1.7554164244096537,0.23378110568428437,13.321046240555548,0.051766070430488725,0.006726938582467603,0.2643359375,,1200,3,8.151525290890152,
25.246802499999955,1250,,,,-0.0035546875,0.0512109375,-1.00734375,0.0010870842147456391,-0.017047842581529568,8.141263045010067,-0.1565261336332922,3669,0,1.2743211356592368,0.4176910648884691,32.795688286742205,0.04091126517954971,0.013377825924996563,0.11859375,,1250,4,8.151525290890152,
34.590793399999946,1300,,,,-0.007109375,0.0522265625,-1.0067578125,0.0016905537506520668,-0.024427825742010335,8.132391091061308,-0.07190484573782462,4248,0,0.5847586757818576,0.7520163815532834,128.7185207045082,0.03248641508416146,0.04180078044012501,0.1069140625,,1300,5,8.151525290890152,
44.34140719999994,1350,,,,-0.014375,0.05296875,-1.0021484375,0.002196920119801967,-0.03188474647101111,8.12073577749472,0.03717069578121193,4830,0,0.3018539383650652,1.1112475213015374,369.8873126097058,0.028702568930965025,0.10607063328370968,0.216875,,1350,6,8.151525290890152,
54.54687279999998,1400,,,,-0.000625,0.0494921875,-1.0085546875,0.0024687619168032586,-0.03752559800921242,8.106793781119675,0.1574405911321576,5448,0,1.2763382509456505,1.4085813343793196,110.32681123149219,0.02670478660217769,0.029407932460410634,0.133671875,,1400,7,8.151525290890152,
65.26726809999995,1450,,,,-0.00125,0.0508984375,-1.004453125,0.003412958110213317,-0.04748945633153421,8.087308906300503,0.3291091007782233,5941,0,2.661605731880505,2.123281113327234,79.77051770151672,0.022371497187257595,0.01784315215443326,0.1421875,,1450,8,8.151525290890152,
76.49595059999994,1500,,,,-0.0001953125,0.04875,-1.010078125,0.004096096514833704,-0.05503396082184261,8.065198078911578,0.5081416102469551,6433,0,4.098261422202822,2.75945299174679,67.33363940264975,0.019946220961521596,0.013429790316092718,0.1331640625,,1500,9,8.151525290890152,
