Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,pwm_commanded_us,point_idx,resting_voltage_V,
0.2186419999995455,1050,,,,0,0.043046875,-1.0237109375,0.0002645086612548181,0.00034798338647850974,8.194849931297197,-0.3011891032895391,0,0,2.4681995086759643,0,0,0,0,0.0701953125,,1050,0,8.198538325745561,
0.20992160000048574,1100,,,,-0.000625,0.04625,-1.020703125,0.0004219686252770804,-0.0014452852341371321,8.19278040314981,-0.29294892360207997,0,0,2.4000660687877993,0,0,0,0,0.076171875,,1100,1,8.198538325745561,
8.24687170000052,1150,,,,-0.001015625,0.049609375,-1.0121875,0.0007692616911439674,-0.004231095546292778,8.188727146433939,-0.25901861431692447,0,0,2.1210326464267233,0,0,0,0,0.0819140625,,1150,2,8.198538325745561,
16.469288200000396,1200,,,,-0.00765625,0.0564453125,-1.00890625,0.0011059248061582939,-0.008186283924986939,8.183993909858469,-0.2113190447322938,3846,0,1.7294341142368481,0.44545313362941824,25.754846542278266,0.018415162659117097,0.004733439635224181,0.0890625,,1200,3,8.198538325745561,
25.171243500000493,1250,,,,0.000390625,0.04984375,-1.0037890625,0.0015207925099555827,-0.013562819014538456,8.175966633480408,-0.1448432905890874,4765,0,1.1842340493064178,0.7588437411015534,64.09694210112471,0.017879348006074307,0.01145527376147914,0.107421875,,1250,4,8.198538325745561,
34.38686020000048,1300,,,,0.0001953125,0.05046875,-1.0079296875,0.0017031602189998551,-0.018060894299960585,8.165967547227055,-0.0641650115253195,5603,0,0.5239692649605046,0.99922484024302,190.77842820347345,0.018094502104775163,0.03448601617327758,0.0939453125,,1300,5,8.198538325745561,
44.088766400000495,1350,,,,0.0024609375,0.0535546875,-1.0000390625,0.0025038357609299096,-0.026456373260241813,8.151543911921621,0.05859587916870304,6464,0,0.47764692066520875,1.6948770936506903,355.48246693938825,0.015615451490754374,0.055451737501969474,0.107890625,,1350,6,8.198538325745561,
54.28641780000052,1400,,,,-0.00109375,0.058046875,-1.0046484375,0.0030304154865192084,-0.03375750850251573,8.133731143269458,0.20597334902632486,7318,0,1.6753316966547152,2.322311265830491,138.62916551911584,0.014538154958096364,0.02015316156850557,0.131796875,,1400,7,8.198538325745561,
64.98865050000047,1450,,,,-0.0141796875,0.061796875,-1.0138671875,0.0038919800628918434,-0.04176165010504666,8.11340386060125,0.3758637864843555,7978,0,3.0495352893393237,3.2516160084788526,106.63047313486797,0.012843422812698796,0.013694853311542316,0.1112890625,,1450,8,8.198538325745561,
76.19783720000049,1500,,,,-0.002265625,0.048828125,-1.0173828125,0.004577436906891417,-0.049675251141745896,8.089737590199862,0.5795605924815672,8703,0,4.6884933995566875,4.171994850895121,88.9883416246895,0.011907252511940145,0.01059547719117509,0.1339453125,,1500,9,8.198538325745561,
87.79963850000057,1525,,,,0.0033203125,0.0458984375,-1.0006640625,0.004800461172895028,-0.05338222769732235,8.073692073338204,0.6985417184942432,9048,0,5.639810229017546,4.548662457044463,80.65876943567662,0.011745881483203977,0.009465703864744253,0.15703125,,1525,10,8.198538325745561,
99.65907520000053,1550,,,,-0.006484375,0.0498828125,-1.005078125,0.0050940408313673744,-0.05812571030596188,8.055300272154001,0.834175602044962,9418,0,6.719534456183402,5.0241702938707355,74.77020000452917,0.011569583801389605,0.008650333901099911,0.1007421875,,1550,11,8.198538325745561,
111.76978540000053,1575,,,,0.00125,0.0468359375,-1.011015625,0.005767274785521947,-0.06334465837374507,8.037513306729414,0.9490669022682975,9747,0,7.628137479266587,5.886450278600121,77.16793035124486,0.010761187938213013,0.008304116821617434,0.11703125,,1575,12,8.198538325745561,
124.18405750000052,1600,,,,-0.0014453125,0.0441015625,-1.0045703125,0.006127623488881549,-0.06711168516633681,8.021632470624834,1.0738497227474118,10032,0,8.614029396224351,6.437124656739586,74.72556759952595,0.010428363028913564,0.007790883020603774,0.12640625,,1600,13,8.198538325745561,
136.86293070000056,1625,,,,-0.007890625,0.046953125,-1.0065234375,0.006754841850031355,-0.07152527832832321,8.003549469542321,1.2238132713793262,10286,0,9.79484796548801,7.276255295696095,74.28574082075889,0.009832955994517506,0.007302490758635056,0.1252734375,,1625,14,8.198538325745561,
149.73644110000052,1650,,,,0.000625,0.0480078125,-1.008359375,0.007306886524088887,-0.07521567632694956,7.982802954461062,1.3742015765757707,10561,0,10.969980393961348,8.080685991784982,73.66184247867284,0.009308580379640942,0.006856516744445563,0.13,,1650,15,8.198538325745561,
162.88018850000057,1675,,,,-0.0063671875,0.051171875,-1.007734375,0.0076249106768307914,-0.0821942497518712,7.965196898353335,1.5092168216363344,10881,0,12.021207993521712,8.688561756433392,72.27650691606233,0.009461162332006254,0.006837465552723314,0.1337890625,,1675,16,8.198538325745561,
176.29062350000055,1700,,,,-0.0073828125,0.055,-1.004296875,0.00869723571615383,-0.08786955467196321,7.942963956188877,1.7089491406564665,11123,0,13.574120705629982,10.130901425344845,74.63466748726853,0.008674662090735778,0.006473365108028924,0.124140625,,1700,17,8.198538325745561,
189.9898094000005,1725,,,,-0.0076953125,0.045859375,-1.009453125,0.008696097146712392,-0.09104163375068777,7.923042357080224,1.8820734407843254,11434,0,14.911748790408064,10.412737463304687,69.82919343076107,0.008743409611563039,0.006105357488582529,0.1475390625,,1725,18,8.198538325745561,
203.9074836000006,1750,,,,0.000625,0.0446875,-0.9992578125,0.009411093042516378,-0.09601013293976893,7.900414069167978,2.0809844123492924,11666,0,16.440639141959785,11.497239525365478,69.9319229627194,0.008350855942022306,0.00583978753969174,0.106328125,,1750,19,8.198538325745561,
217.97104250000055,1760,,,,0.0091015625,0.041875,-1.0024609375,0.009538974870510423,-0.0961457508180207,7.888575768809284,2.155416287874357,11773,0,17.003163970657262,11.760738690171184,69.16810571657287,0.008175730548516575,0.005654595723837225,0.098984375,,1760,20,8.198538325745561,
232.17786870000063,1775,,,,-0.0073046875,0.04921875,-1.0053125,0.009917411654846855,-0.09888569972841449,7.872114246886747,2.2850695062009296,11915,0,17.988328317302184,12.374363665563804,68.79077948086096,0.007991792139962345,0.005497228005660625,0.0983984375,,1775,21,8.198538325745561,
246.58982050000066,1800,,,,-0.003359375,0.0520703125,-1.0041015625,0.00990368187270589,-0.1047753669357522,7.850924602852498,2.4615634287484927,12191,0,19.32554895202783,12.643425515738697,65.42356076639507,0.008287616028427688,0.005421602611052168,0.1026171875,,1800,22,8.198538325745561,
261.2549399000005,1825,,,,-0.008828125,0.0539453125,-1.0112109375,0.010452081905966122,-0.1094891927166752,7.8272472163671925,2.671143185157049,12398,0,20.90769718166327,13.570246368909586,64.90570548000035,0.008068448862728896,0.005236793841693848,0.1005859375,,1825,23,8.198538325745561,
276.1741998000005,1850,,,,-0.0139453125,0.0351953125,-1.0066796875,0.010237363223235894,-0.11347233779197426,7.805261947060179,2.856923618058149,12665,0,22.29904060090634,13.577898167561896,60.89026704540737,0.008357823269770186,0.005088705250824704,0.110546875,,1850,24,8.198538325745561,
291.3288452000006,1875,,,,-0.00203125,0.0523046875,-1.0127734375,0.011064414287547224,-0.11615556025708684,7.78024168867773,3.0848340347111702,12868,0,24.000755683393486,14.910086571246289,62.12337818982977,0.00779053806533204,0.004839657718941084,0.1120703125,,1875,25,8.198538325745561,
306.7306270000006,1900,,,,-0.00046875,0.0501953125,-1.0053515625,0.011263718399007366,-0.1194073877648908,7.755416788542345,3.273367840109519,13108,0,25.386333543307504,15.461873048707421,60.906682846596176,0.007722970495161151,0.004703608876156982,0.1110546875,,1900,26,8.198538325745561,
322.5211612000005,1950,,,,-0.0007421875,0.043515625,-1.003125,0.011808160703221908,-0.1307259458862666,7.704033906766345,3.7340528067704097,13509,0,28.76727082015413,16.704345087334676,58.06719098610117,0.007825887547685593,0.004544265374098203,0.1925390625,,1950,27,8.198538325745561,
338.8240111000007,2000,,,,-0.00078125,0.047578125,-1.0020703125,0.012751947935189438,-0.1373754401092555,7.657394610929368,4.154132636215037,13859,0,31.809834825442632,18.50649088371854,58.178649672718905,0.007423345398331176,0.0043186370888650995,0.1987109375,,2000,28,8.198538325745561,
