Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,pwm_commanded_us,phase,resting_voltage_V,
0.005194999999832362,1000,,,,0,0.021484375,-1.01953125,0.00014995834938124158,-0.0003412910058075156,8.198273954900444,-0.30265614717546696,0,0,2.4812580086791463,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.016519999999552965,1000,,,,0,0.05859375,-1.02734375,0.0000626194168144372,-0.0003412910058075156,8.198373677365838,-0.3025979742326717,0,0,2.4808112667733617,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.025009999999776482,1000,,,,0,0.021484375,-1.025390625,0.0000626194168144372,-0.0003412910058075156,8.19848262699092,-0.30238914025620905,0,0,2.4791321129812505,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.03273499999986961,1000,,,,0,0.087890625,-1.03125,0.0000626194168144372,-0.0003412910058075156,8.198426742952526,-0.3023531672378191,0,0,2.4788202920989333,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.0406199999996461,1000,,,,0,0.03125,-1.025390625,0.0000626194168144372,-0.0003412910058075156,8.198438461919073,-0.30337918462250046,0,0,2.487235575754755,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.04865499999979511,1000,,,,0,0.06640625,-1.046875,0.0000626194168144372,-0.0003412910058075156,8.198646484388364,-0.30308076246523385,0,0,2.4848520276713346,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.05660999999986961,1000,,,,0,0.068359375,-1.03125,0.0000626194168144372,-0.0003412910058075156,8.19861496975341,-0.3025875578928192,0,0,2.480798881801194,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.06459999999962747,1000,,,,0,0.015625,-1.015625,0.0000626194168144372,-0.0003412910058075156,8.198551846923372,-0.3024344648758147,0,0,2.4795246405808924,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.0728249999997206,1000,,,,0,0.03125,-1.00390625,0.0000626194168144372,-0.0003412910058075156,8.198524549887567,-0.30132226395428696,0,0,2.470397978456923,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.0826699999999255,1000,,,,0,0.04296875,-1.037109375,0.0000626194168144372,-0.0003412910058075156,8.198614203032363,-0.3005517217521886,0,0,2.464107614703324,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
0.09063500000024215,1000,,,,0,0.0546875,-1.044921875,0.0000626194168144372,0.00011546001149774127,8.198616763566497,-0.3001807381539706,0,0,2.4610668319289086,0,0,0,0,0.0703125,,1000,0,8.202248780215436,
0.09870500000007451,1000,,,,0,0.08984375,-1.05078125,0.0000626194168144372,0.00011546001149774127,8.198422459473544,-0.3008935045976526,0,0,2.466852066003101,0,0,0,0,0.072265625,,1000,0,8.202248780215436,
